Local Date and Time,Participant Public ID,Participant Private ID,randomiser-wqo5,Trial Number,Response,Onset Time,Object Name,Object Number,Spreadsheet: Trial#,Spreadsheet: Audio
17/02/2026 17:02:04,3sq66wle,15178530,Version1-raw,71,no-se.png,2600.2000000000116,No se,3,60,[MONO] ASI119_guitarra_nonalt_unanalyzable_v_raw.mp3
17/02/2026 17:02:05,3sq66wle,15178530,Version1-raw,72,audio started,1521.8000000002794,Audio Clip,2,33,[MONO] HSS143_nudo_nonalt_analyzable_v_raw.mp3
17/02/2026 17:02:06,3sq66wle,15178530,Version1-raw,72,o.png,2366.600000000035,O,2,33,[MONO] HSS143_nudo_nonalt_analyzable_v_raw.mp3
17/02/2026 17:02:08,3sq66wle,15178530,Version1-raw,73,audio started,1504.2999999999884,Audio Clip,2,75,[MONO] ASI_blena_analyzable.mp3
17/02/2026 17:02:10,3sq66wle,15178530,Version1-raw,73,a.png,2697.7999999999884,A,1,75,[MONO] ASI_blena_analyzable.mp3
17/02/2026 17:02:11,3sq66wle,15178530,Version1-raw,74,audio started,1503.2999999999302,Audio Clip,2,86,[MONO] ASI_kecho_unanalyable.mp3
17/02/2026 17:02:13,3sq66wle,15178530,Version1-raw,74,no-se.png,3295.29999999993,No se,3,86,[MONO] ASI_kecho_unanalyable.mp3
17/02/2026 17:02:14,3sq66wle,15178530,Version1-raw,75,audio started,1523,Audio Clip,2,78,[MONO] HSS_sata_analyzable-hipitch.mp3
17/02/2026 17:02:17,3sq66wle,15178530,Version1-raw,75,a.png,3766.7000000000116,A,1,78,[MONO] HSS_sata_analyzable-hipitch.mp3
17/02/2026 17:02:18,3sq66wle,15178530,Version1-raw,76,audio started,1505.3000000002794,Audio Clip,2,46,[MONO] HSS126_mesa_nonalt_analyzable_v-less_raw.mp3
17/02/2026 17:02:19,3sq66wle,15178530,Version1-raw,76,a.png,2364.3000000002794,A,1,46,[MONO] HSS126_mesa_nonalt_analyzable_v-less_raw.mp3
17/02/2026 17:02:21,3sq66wle,15178530,Version1-raw,77,audio started,1519.5999999999185,Audio Clip,2,71,[MONO] ASI_kecho_analyzable.mp3
17/02/2026 17:02:22,3sq66wle,15178530,Version1-raw,77,no-se.png,3482.000000000291,No se,3,71,[MONO] ASI_kecho_analyzable.mp3
17/02/2026 17:02:24,3sq66wle,15178530,Version1-raw,78,audio started,1503.6000000000931,Audio Clip,2,81,[MONO] HSS_bleno_unanalyzable1.mp3
17/02/2026 17:02:25,3sq66wle,15178530,Version1-raw,78,o.png,2497,O,2,81,[MONO] HSS_bleno_unanalyzable1.mp3
17/02/2026 17:02:26,3sq66wle,15178530,Version1-raw,79,audio started,1522.800000000163,Audio Clip,2,23,[MONO] ASI146_puerto_alt_unanalyzable_v-less_raw.mp3
17/02/2026 17:02:28,3sq66wle,15178530,Version1-raw,79,o.png,2616.5999999999767,O,2,23,[MONO] ASI146_puerto_alt_unanalyzable_v-less_raw.mp3
17/02/2026 17:02:29,3sq66wle,15178530,Version1-raw,80,audio started,1504.8000000001048,Audio Clip,2,40,[MONO] ASI148_barco_nonalt_analyzable_v-less_raw.mp3
17/02/2026 17:02:30,3sq66wle,15178530,Version1-raw,80,o.png,2664.500000000291,O,2,40,[MONO] ASI148_barco_nonalt_analyzable_v-less_raw.mp3
